,planname
0,Jungfernheide/Plötzensee
1,Schlossgarten
2,Jungfernheide/Plötzensee
3,Savignyplatz
4,Schloßstraße
5,Klausenerplatz
6,Schloßstraße
7,Tegeler Weg
8,Lietzensee
9,Amtsgerichtsplatz
10,Lietzensee
11,Lietzensee
12,Tegeler Weg
13,Kaiserin-Augusta-Allee
14,Kaiserin-Augusta-Allee
15,Alt-Lietzow
16,Droysenstraße
17,Droysenstraße
18,Karl-August-Platz
19,Savignyplatz
20,Alt-Lietzow
21,Alt-Lietzow
22,Spreestadt
23,Alt-Lietzow
24,Jungfernheide/Plötzensee
25,Richard-Wagner-Straße
26,Karl-August-Platz
27,Jungfernheide/Plötzensee
28,Ernst-Reuter-Platz
29,Kaiserin-Augusta-Allee
30,Jungfernheide/Plötzensee
31,Paul-Hertz-Siedlung
32,Paul-Hertz-Siedlung
33,Kaiserin-Augusta-Allee
34,Jungfernheide/Plötzensee
35,Breite Straße
36,Forckenbeckstraße
37,Breite Straße
38,Forckenbeckstraße
39,Flinsberger Platz
40,Forckenbeckstraße
41,Karl-August-Platz
42,Amtsgerichtsplatz
43,Kaiserin-Augusta-Allee
44,Prager Platz
45,Wilhelmsaue
46,Paul-Hertz-Siedlung
47,Alt-Lietzow
48,Preußenpark
49,Binger Straße
50,Babelsberger Straße
51,Barstraße
52,Ludwigkirchplatz
53,Schaperstraße
54,Schaperstraße
55,Brabanter Platz
56,Preußenpark
57,Kaiserin-Augusta-Allee
58,Paul-Hertz-Siedlung
59,Hochmeisterplatz
60,Binger Straße
61,Flinsberger Platz
62,Rüdesheimer Platz
63,Rüdesheimer Platz
64,Babelsberger Straße
65,Wilhelmsaue
66,Eisenzahnstraße
67,Nikolsburger Platz
68,Schlangenbader Straße
69,Kaiserin-Augusta-Allee
70,Schloßstraße
71,Kaiserin-Augusta-Allee
72,Jungfernheide/Plötzensee
73,Spreestadt
74,Jungfernheide/Plötzensee
75,Leon-Jessel-Platz
76,Jungfernheide/Plötzensee
77,Savignyplatz
78,Klausenerplatz
79,Spreestadt
80,Alt-Lietzow
81,Barstraße
82,Wartheplatz
83,Schulenburgpark
84,Wartheplatz
85,Hasenheide
86,Maybachufer
87,Tempelhofer Weg
88,Tempelhofer Weg
89,Park am Buschkrug
90,Park am Buschkrug
91,Schillerpromenade Nord
92,Schulenburgpark
93,Schulenburgpark
94,Schulenburgpark
95,Alt-Rixdorf
96,Schulenburgpark
97,Schulenburgpark
98,Alt-Rixdorf
99,Alt-Rixdorf
100,Alt-Rixdorf
101,Hasenheide
102,Hertzbergplatz
103,Wartheplatz
104,Körnerpark
105,Rollberg
106,Körnerpark
107,Körnerpark
108,Flughafenstraße
109,Reuterplatz
110,Hertzbergplatz
111,Schillerpromenade Nord
112,Treptower Straße Nord
113,Körnerpark
114,Weichselplatz
115,Hertzbergplatz
116,Munsterdamm
117,Munsterdamm
118,Feuerbachstraße
119,Bergstraße
120,Schloßstraße
121,Dahlem
122,Dahlem
123,Dahlem
124,Thielallee
125,Fichtenberg
126,Fichtenberg
127,Fichtenberg
128,Fichtenberg
129,Markelstraße
130,Bismarckstraße
131,Markelstraße
132,Markelstraße
133,Fichtenberg
134,Feuerbachstraße
135,Botanischer Garten
136,Dahlem
137,Dahlem
138,Markelstraße
139,Feuerbachstraße
140,Alvenslebenstraße
141,Grazer Platz
142,Cheruskerstraße
143,Grazer Platz
144,Frobenstraße
145,Bosepark
146,Paradestraße
147,Gontermannstraße
148,Paradestraße
149,Paradestraße
150,Bosepark
151,Bosepark
152,Germaniagarten
153,Bosepark
154,Rathaus Tempelhof
155,Rathaus Tempelhof
156,Paradestraße
157,Paradestraße
158,Rathaus Tempelhof
159,Rathaus Tempelhof
160,Gontermannstraße
161,Rathaus Tempelhof
162,Gontermannstraße
163,Rathaus Tempelhof
164,Rathaus Tempelhof
165,Rathaus Tempelhof
166,Germaniagarten
167,Frobenstraße
168,Grazer Platz
169,Paradestraße
170,Cheruskerstraße
171,Feurigstraße
172,Gontermannstraße
173,Cheruskerstraße
174,Großgörschenstraße
175,Großgörschenstraße
176,Germaniagarten
177,Grazer Platz
178,Lindenhofsiedlung
179,Lindenhofsiedlung
180,Belziger Straße
181,Volkspark (Rudolph-Wilde-Park)
182,Barbarossaplatz
183,Belziger Straße
184,Perelsplatz
185,Perelsplatz
